"设备编码","彩铃费","短信费","本地语音通话费","长途语音通话费","省内语音漫游费","省际语音漫游费","国际语音长途费","上网及数据通信费","综合增值服务费","来电显示费","总费用","上网次数","上网时长","延迟缴费次数","主叫次数","被叫次数","本地通话次数","省内漫游通话次数","省际漫游通话次数","国际漫游通话次数","主叫通话分钟数","被叫通话分钟数","本地通话分钟数","长途语音通话分钟数","省内漫游通话分钟数","省际漫游通话分钟数","国际漫游通话分钟数","群内通话次数","群内通话分钟数","群外通话次数","群外通话分钟数","忙时通话次数","忙时通话分钟数","闲时通话次数","闲时通话分钟数","呼转次数","拨打他网客服次数","拨打中电信通话次数","拨打中电信通话分钟数","拨打中联通通话次数","拨打中联通通话分钟数","拨打中移动通话次数","拨打中移动通话分钟数","拨打固话通话次数","拨打固话通话分钟数","主叫通话联系人数量","被叫通话联系人数量","年龄","号码等级","月基本套餐费","套餐最低消费","是否VPN用户","是否融合","入网天数","是否女性","是否政企","是否托收","是否流失"
"226",3.9440060512812,4.01638302075239,1.61839765380557,2.83174167344476,1.87870139936186,2.56917120215109,0.887891257352457,4.05525717351405,1.31237867816972,2.61520365073586,4.53587369698544,7.05055607761381,9.71296798367117,0,4.67282883446191,3.74950407593037,3.85014760171006,4.62986279857846,0,0,5.427150238391,4.35670882668959,4.29045944114839,0,5.44889022502741,0,0,3.85014760171006,3.88156379794344,4.62986279857846,5.21030548922482,4.53796143629464,5.1062484582992,4.02535169073515,4.19795354484112,0,0,3.61091791264422,3.89792408104864,1.79175946922805,2.84490938381941,4.15888308335967,4.70998055034044,4.67282883446191,5.17275414357269,1.79175946922805,2.35137525716348,29,1.82854779628973,4.63564159041335,4.6306490048755,0.938041832257548,0,6.4707995037826,0,0,0,1
"144",3.85259142165872,4.01638302075239,1.61839765380557,2.73013779756621,1.77070606003022,2.53329990980457,0.887891257352457,4.29503798469872,2.42789528395949,2.15176220325946,4.58205507848204,4.49423862528081,2.87073578337931,2,2.63905732961526,1.50407739677627,0,0,2.86220088092947,0,3.54095932403731,2.01490302054226,0,0,0,3.71357206670431,0,0,0,2.86220088092947,3.4980215662977,2.63905732961526,3.16124671203156,1.50407739677627,2.34660197841082,0,0,0.405465108108164,0.336472236621213,0.405465108108164,0.262364264467491,2.56494935746154,3.31962572796834,2.63905732961526,3.34286180464919,0.405465108108164,0,52,1,0,4.54130570751563,0,0,6.68959926917897,0,1,0,1
"297",3.8649313978943,4.27749910531995,1.61839765380557,3.36297616884196,2.43405185573635,2.79269767516249,1.72544158819041,4.64775063352321,1.03318448334565,2.14710019015365,5.68080380908579,7.23993259132047,9.66538475092244,2,2.70805020110221,2.89037175789616,2.91777073208428,0,2.2512917986065,1.79175946922805,4.28358656186063,3.97968165390196,3.17805383034795,4.06902675423781,0,3.63758615972639,2.01490302054226,0,0,3.46573590279973,4.69911579883062,3.36729582998647,4.34769395559338,1.38629436111989,3.51154543883102,0,0,2.19722457733622,2.10413415427021,0.405465108108164,0.371563556432483,1.87180217690159,4.05785345363969,2.70805020110221,4.18205014264121,0,2.2512917986065,27,3,5.66988092298052,5.7037824746562,0,0,6.34035930372775,0,1,0,1
"415",3.98898404656427,4.11054594156011,1.61839765380557,3.14264251886861,2.21211318982997,2.69361315330444,1.13622915223942,4.61709875685337,1.54543258245819,2.68170622576261,5.48348902460869,5.53733426701854,9.73946013289781,0,5.52744298953979,5.33513133967075,6.00635315960173,0,3.88156379794344,1.70474809223843,6.34212141872115,5.87913536213406,6.29249463707926,5.66469508594815,0,4.51085950651685,2.01490302054226,5.62582093318649,5.54517744447956,5.20125565370491,6.06401773978969,5.84932477994686,6.28562558565747,4.71849887129509,5.00629254466212,0,0,5.05624580534831,5.03402624688683,1.79175946922805,2.25654115449264,4.32413265625498,5.49367853684979,5.52744298953979,6.08893149033419,2.89037175789616,3.71357206670431,36.1696591150396,1,5.22157857771267,5.35132783194782,0.985286730216732,0,5.06890420222023,0.241072722437251,0,1,1
"293",3.92907675999397,4.04620418689417,1.61839765380557,2.51729316548715,2.02814824729229,2.63619609733423,0.887891257352457,4.52677611856008,4.50125307256832,1.81807677754543,5.36011776745348,5.30081424674662,9.78628169421835,0,4.75789127300576,3.97029191355212,1.94591014905531,4.96284463025991,3.02042488614436,0,5.62401750618734,4.93447393313069,0.916290731874155,2.56494935746154,5.90263333340137,3.59731226058845,0,0,0,5.12693574979242,5.79575375319501,4.69592454925656,5.50918588698663,4.0943445622221,4.41823801663645,0,0,3.17805383034795,4.01818320125654,3.15700042115011,3.0842009215416,4.18965474202643,4.78038320354475,4.75789127300576,5.3890717298165,1.38629436111989,2.86220088092947,42,1,5.06469174961459,5.24133169625902,0.162300834912872,0,6.39692965521615,0,1,1,1
"176",3.88280014675124,4.01638302075239,1.61839765380557,2.56917120215109,1.59837696507468,2.48198572136034,0.887891257352457,3.96271611974366,2.48906465993666,2.71535677628465,4.21950770517611,0.593770430820361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1.41561722577127,4.3845477928226,4.57581549802442,0.0135036004013522,0,6.55961523749324,0,1,0,1
"166",3.8764994493591,4.03335529059567,1.61839765380557,2.55061635981603,1.45044218094364,2.42965817555752,0.887891257352457,3.89853241524565,2.39607543608138,2.12823170584927,3.58809180030124,2.77258872223978,5.28704574634142,2,3.73766961828337,3.97029191355212,4.54329478227,0,0,0,4.76643833358421,4.91265488573605,5.53141124871541,0,0,0,0,0,0,4.54329478227,5.31024593741331,4.29728540621879,5.09528276815654,3.06805293513362,3.69262244039277,0,0,2.67414864942653,3.15059698411491,1.50407739677627,2.58021682959233,3.09104245335832,4.06388535473739,3.73766961828337,4.57057874121847,1.6094379124341,3.41772668361337,40,2,0,4.42285999358318,0,0,6.59714570188665,0,1,0,1
"132",3.88238820029846,4.04655389838575,1.61839765380557,3.38388165945247,2.45659290547339,2.86362843292065,0.887891257352457,4.02962824750241,1.39128190263093,2.52452792373174,5.18153070934174,4.49980967033027,6.72032067300238,2,4.54329478227,3.97029191355212,2.52572864430826,0.405465108108164,4.89783979995091,0,5.80362780962592,5.13873529672357,2.89037175789616,3.80666248977032,0.405465108108164,6.08563771712523,0,0,0,4.98360662170834,6.0557295933547,4.60517018598809,5.72472823917166,3.85014760171006,4.79744207363521,0,0,2.14006616349627,2.91506437048654,0.405465108108164,0.336472236621213,4.36309862478836,5.54341808521429,4.54329478227,5.65301535760255,1.6094379124341,2.56494935746154,39,1,4.49980967033027,4.62844790323108,0,0,6.79122146272619,1,1,0,1
"191",3.91541723849616,4.0849674004095,1.61839765380557,2.95569122401681,2.01623546577604,2.61666563930036,0.887891257352457,4.43769783204434,1.30019166206648,2.41502052232383,5.32544603393629,5.49921530891493,10.0832777832257,1,3.51154543883102,2.89037175789616,2.07944154167984,3.71357206670431,1.25276296849537,0,4.71402459090017,4.21950770517611,3.58351893845611,0,4.93447393313069,1.70474809223843,0,2.07944154167984,3.48277736865458,3.77276093809464,4.79867893217261,3.55534806148941,4.75100063419963,2.80336038090653,3.64414356027254,0,0,2.89037175789616,3.59319420397953,0,0,2.67414864942653,3.96271611974366,3.51154543883102,4.53635586998773,1.09861228866811,2.01490302054226,38,2.1155162539324,5.22157857771267,5.30251823312621,0.985286730216732,0,6.52356230614951,0,0,0,1
"413",3.95057041504039,4.01908207772155,1.61839765380557,2.79208493004528,1.83816584204221,2.55373284071785,0.887891257352457,4.24649323937869,0.815364813284195,2.54396141256932,4.62815402237847,3.95124371858143,9.05102317422544,2,4.64439089914137,3.95124371858143,5.03695260241363,0.693147180559945,0,0,5.1328529268205,4.22683374526818,5.33753807970132,3.36729582998647,0.693147180559945,0,0,4.15888308335967,3.94739014926544,4.52178857704904,4.66814498514948,4.80402104473326,4.86637993810876,3.52636052461616,3.3499040872746,0,0.693147180559945,3.54095932403731,3.53514535417189,1.94591014905531,1.89461685466776,3.8607297110406,4.14946386144318,4.64439089914137,4.75531284441781,2.77258872223978,2.14006616349627,22,1,4.49980967033027,4.62844790323108,1,0,5.09375020080676,1,0,0,1
